upper,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,VTOTAL,VRATE,MURDER,RAPE,ROBBERY,ASSAULT,PTOTAL,PRATE,ARSON,BURGLARY,THEFT,MVTHEFT
THURSTON,Thurston,2003,Evergreen State College Police Department,0,81,,1,,0,0,0,1,80,,0,1,73,6
THURSTON,Thurston,2004,Evergreen State College Police Department,0,133,,4,,0,0,0,4,129,,0,17,110,2
THURSTON,Thurston,2005,Evergreen State College Police Department,0,131,,1,,0,0,0,1,130,,0,17,109,4
THURSTON,Thurston,2006,Evergreen State College Police Department,0,105,,6,,0,6,0,0,99,,0,11,86,2
THURSTON,Thurston,2007,Evergreen State College Police Department,0,118,,2,,0,2,0,0,116,,0,16,97,3
THURSTON,Thurston,2008,Evergreen State College Police Department,0,139,,1,,0,1,0,0,138,,1,27,106,4
THURSTON,Thurston,2009,Evergreen State College Police Department,0,117,,0,,0,0,0,0,117,,1,11,105,0
THURSTON,Thurston,2010,Evergreen State College Police Department,0,92,,0,,0,0,0,0,92,,0,16,76,0
THURSTON,Thurston,2011,Evergreen State College Police Department,0,90,,3,,0,2,1,0,87,,2,13,72,0
THURSTON,Thurston,1994,Lacey Police Department,24280,1857,76.5,71,2.9,0,8,18,45,1786,74,18,239,1451,78
THURSTON,Thurston,1995,Lacey Police Department,25110,1256,50,73,2.9,0,15,22,36,1183,47,2,239,887,55
THURSTON,Thurston,1996,Lacey Police Department,26170,1233,47.1,76,2.9,2,26,26,22,1157,44,8,247,829,73
THURSTON,Thurston,1997,Lacey Police Department,27570,1026,37.2,99,3.6,0,33,25,41,927,34,15,252,589,71
THURSTON,Thurston,1998,Lacey Police Department,28240,872,30.9,67,2.4,0,11,19,37,805,29,3,168,542,92
THURSTON,Thurston,1999,Lacey Police Department,29020,1140,39.3,78,2.7,0,12,24,42,1062,37,9,208,769,76
THURSTON,Thurston,2000,Lacey Police Department,29240,1460,49.9,88,3,0,15,26,47,1372,47,9,279,1010,74
THURSTON,Thurston,2001,Lacey Police Department,31600,1581,50,102,3.2,3,14,35,50,1479,47,4,240,1154,81
THURSTON,Thurston,2002,Lacey Police Department,31860,1535,48.2,90,2.8,0,19,26,45,1445,45,6,244,1112,83
THURSTON,Thurston,2003,Lacey Police Department,32240,1601,49.7,92,2.9,0,28,21,43,1509,47,11,272,1127,99
THURSTON,Thurston,2004,Lacey Police Department,32530,1670,51.3,112,3.4,0,18,30,64,1558,48,11,222,1210,115
THURSTON,Thurston,2005,Lacey Police Department,33180,1857,56,91,2.7,1,6,33,51,1766,53,10,235,1405,116
THURSTON,Thurston,2006,Lacey Police Department,34060,1702,50,90,2.6,1,8,27,54,1612,47,3,240,1230,139
THURSTON,Thurston,2007,Lacey Police Department,35870,1843,51.4,89,2.5,2,6,24,57,1754,49,6,259,1341,148
THURSTON,Thurston,2008,Lacey Police Department,38040,1833,48.2,98,2.6,1,16,24,57,1735,46,3,237,1403,92
THURSTON,Thurston,2009,Lacey Police Department,39250,1604,40.9,95,2.4,0,13,22,60,1509,38,3,217,1183,106
THURSTON,Thurston,2010,Lacey Police Department,40130,1644,41,81,2,0,5,18,58,1563,39,3,278,1195,87
THURSTON,Thurston,2011,Lacey Police Department,42830,1477,34.5,95,2.2,0,8,19,68,1382,32,1,267,1056,58
