upper,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,VTOTAL,VRATE,MURDER,RAPE,ROBBERY,ASSAULT,PTOTAL,PRATE,ARSON,BURGLARY,THEFT,MVTHEFT
ADAMS,Adams,1994,Adams County Sheriffs Office,8070,237,29.4,20,2.5,0,3,1,16,217,27,6,47,142,22
ADAMS,Adams,1995,Adams County Sheriffs Office,8215,332,40.4,24,2.9,3,3,3,15,308,38,3,85,201,19
ADAMS,Adams,1996,Adams County Sheriffs Office,8390,306,36.5,14,1.7,1,1,2,10,292,35,10,66,196,20
ADAMS,Adams,1997,Adams County Sheriffs Office,8630,252,29.2,29,3.4,1,7,0,21,223,26,0,86,118,19
ADAMS,Adams,1998,Adams County Sheriffs Office,8710,285,32.7,20,2.3,0,4,1,15,265,30,8,96,143,18
ADAMS,Adams,1999,Adams County Sheriffs Office,8710,226,25.9,22,2.5,1,2,3,16,204,23,2,76,113,13
ADAMS,Adams,2000,Adams County Sheriffs Office,8625,221,25.6,19,2.2,0,7,0,12,202,23,5,64,118,15
ADAMS,Adams,2001,Adams County Sheriffs Office,8960,215,24,24,2.7,0,10,3,11,191,21,6,56,113,16
ADAMS,Adams,2002,Adams County Sheriffs Office,8970,323,36,12,1.3,0,3,3,6,311,35,3,106,180,22
ADAMS,Adams,2003,Adams County Sheriffs Office,8895,375,42.2,24,2.7,0,12,2,10,351,40,7,115,196,33
ADAMS,Adams,2004,Adams County Sheriffs Office,8910,361,40.5,29,3.3,0,4,2,23,332,37,2,120,189,21
ADAMS,Adams,2005,Adams County Sheriffs Office,9150,321,35.1,35,3.8,1,6,6,22,286,31,3,86,167,30
ADAMS,Adams,2006,Adams County Sheriffs Office,9365,296,31.6,16,1.7,0,3,1,12,280,30,3,84,171,22
ADAMS,Adams,2007,Adams County Sheriffs Office,9530,320,33.6,16,1.7,1,6,2,7,304,32,7,87,187,23
ADAMS,Adams,2008,Adams County Sheriffs Office,9565,331,34.6,27,2.8,0,5,1,21,304,32,2,93,173,36
ADAMS,Adams,2009,Adams County Sheriffs Office,9665,288,29.8,24,2.5,1,4,7,12,264,27,5,97,130,32
ADAMS,Adams,2010,Adams County Sheriffs Office,9755,350,35.9,23,2.4,0,5,4,14,327,34,6,129,160,32
ADAMS,Adams,2011,Adams County Sheriffs Office,9825,317,32.3,23,2.3,0,3,6,14,294,30,6,107,152,29
ADAMS,Adams,1994,COUNTY TOTAL,14600,888,60.8,67,4.6,0,5,5,57,821,56,7,132,628,54
ADAMS,Adams,1995,COUNTY TOTAL,15200,967,63.6,46,3,4,5,3,34,921,61,3,150,733,35
ADAMS,Adams,1996,COUNTY TOTAL,15400,903,58.6,54,3.5,1,6,5,42,849,55,11,142,653,43
ADAMS,Adams,1997,COUNTY TOTAL,15800,766,48.5,58,3.7,1,9,2,46,708,45,8,185,479,36
ADAMS,Adams,1998,COUNTY TOTAL,15900,751,47.2,47,3,0,10,5,32,704,44,15,205,447,37
ADAMS,Adams,1999,COUNTY TOTAL,15900,662,41.6,51,3.2,1,4,4,42,611,38,6,168,411,26
ADAMS,Adams,2000,COUNTY TOTAL,15800,671,42.5,40,2.5,0,14,5,21,631,40,7,161,429,34
ADAMS,Adams,2001,COUNTY TOTAL,16600,695,41.9,44,2.7,0,12,7,25,651,39,10,109,490,42
ADAMS,Adams,2002,COUNTY TOTAL,16600,830,50,25,1.5,0,5,4,16,805,49,8,173,575,49
ADAMS,Adams,2003,COUNTY TOTAL,16600,1053,63.4,42,2.5,0,16,4,22,1011,61,8,226,700,77
ADAMS,Adams,2004,COUNTY TOTAL,16700,1008,60.4,61,3.7,0,9,11,41,947,57,8,265,624,50
ADAMS,Adams,2005,COUNTY TOTAL,17000,791,46.5,57,3.4,1,14,13,29,734,43,7,158,505,64
ADAMS,Adams,2006,COUNTY TOTAL,17300,850,49.1,33,1.9,1,7,1,24,817,47,5,172,591,49
ADAMS,Adams,2007,COUNTY TOTAL,17600,1052,59.8,41,2.3,2,9,4,26,1011,57,9,255,675,72
ADAMS,Adams,2008,COUNTY TOTAL,17800,958,53.8,57,3.2,0,9,5,43,901,51,5,183,631,82
ADAMS,Adams,2009,COUNTY TOTAL,18000,852,47.3,57,3.2,1,6,19,31,795,44,10,185,525,75
ADAMS,Adams,2010,COUNTY TOTAL,18300,929,50.8,56,3.1,1,8,10,37,873,48,6,229,566,72
ADAMS,Adams,2011,COUNTY TOTAL,18950,873,46.1,53,2.8,0,4,10,39,820,43,9,209,537,65
ADAMS,Adams,1994,Othello Police Department,4780,564,118,41,8.6,0,1,3,37,523,109,1,78,414,30
ADAMS,Adams,1995,Othello Police Department,5240,528,100.8,19,3.6,1,1,0,17,509,97,0,60,438,11
ADAMS,Adams,1996,Othello Police Department,5255,509,96.9,36,6.9,0,3,3,30,473,90,1,69,383,20
ADAMS,Adams,1997,Othello Police Department,5395,423,78.4,25,4.6,0,2,2,21,398,74,8,81,295,14
ADAMS,Adams,1998,Othello Police Department,5415,374,69.1,22,4.1,0,4,3,15,352,65,7,85,244,16
ADAMS,Adams,1999,Othello Police Department,5435,373,68.6,29,5.3,0,2,1,26,344,63,4,84,243,13
ADAMS,Adams,2000,Othello Police Department,5445,353,64.8,18,3.3,0,6,4,8,335,62,2,83,232,18
ADAMS,Adams,2001,Othello Police Department,5895,396,67.2,18,3.1,0,2,4,12,378,64,4,40,312,22
ADAMS,Adams,2002,Othello Police Department,5905,431,73,13,2.2,0,2,1,10,418,71,4,55,334,25
ADAMS,Adams,2003,Othello Police Department,5970,601,100.7,16,2.7,0,4,2,10,585,98,1,103,437,44
ADAMS,Adams,2004,Othello Police Department,6050,568,93.9,30,5,0,3,9,18,538,89,6,129,378,25
ADAMS,Adams,2005,Othello Police Department,6120,398,65,21,3.4,0,8,7,6,377,62,4,55,289,29
ADAMS,Adams,2006,Othello Police Department,6205,485,78.2,16,2.6,1,4,0,11,469,76,2,78,362,27
ADAMS,Adams,2007,Othello Police Department,6340,652,102.8,23,3.6,1,2,2,18,629,99,2,147,434,46
ADAMS,Adams,2008,Othello Police Department,6495,560,86.2,30,4.6,0,4,4,22,530,82,3,74,410,43
ADAMS,Adams,2009,Othello Police Department,6595,502,76.1,33,5,0,2,12,19,469,71,4,72,353,40
ADAMS,Adams,2010,Othello Police Department,6800,508,74.7,29,4.3,1,3,5,20,479,70,0,88,355,36
ADAMS,Adams,2011,Othello Police Department,7420,493,66.4,29,3.9,0,1,4,24,464,63,2,82,345,35
ADAMS,Adams,1994,Ritzville Police Department,1750,87,49.7,6,3.4,0,1,1,4,81,46,0,7,72,2
ADAMS,Adams,1995,Ritzville Police Department,1745,107,61.3,3,1.7,0,1,0,2,104,60,0,5,94,5
ADAMS,Adams,1996,Ritzville Police Department,1755,88,50.1,4,2.3,0,2,0,2,84,48,0,7,74,3
ADAMS,Adams,1997,Ritzville Police Department,1775,91,51.3,4,2.3,0,0,0,4,87,49,0,18,66,3
ADAMS,Adams,1998,Ritzville Police Department,1775,92,51.8,5,2.8,0,2,1,2,87,49,0,24,60,3
ADAMS,Adams,1999,Ritzville Police Department,1755,63,35.9,0,0,0,0,0,0,63,36,0,8,55,0
ADAMS,Adams,2000,Ritzville Police Department,1730,97,56.1,3,1.7,0,1,1,1,94,54,0,14,79,1
ADAMS,Adams,2001,Ritzville Police Department,1745,84,48.1,2,1.1,0,0,0,2,82,47,0,13,65,4
ADAMS,Adams,2002,Ritzville Police Department,1725,76,44.1,0,0,0,0,0,0,76,44,1,12,61,2
ADAMS,Adams,2003,Ritzville Police Department,1735,77,44.4,2,1.2,0,0,0,2,75,43,0,8,67,0
ADAMS,Adams,2004,Ritzville Police Department,1740,79,45.4,2,1.1,0,2,0,0,77,44,0,16,57,4
ADAMS,Adams,2005,Ritzville Police Department,1730,72,41.6,1,0.6,0,0,0,1,71,41,0,17,49,5
ADAMS,Adams,2006,Ritzville Police Department,1730,69,39.9,1,0.6,0,0,0,1,68,39,0,10,58,0
ADAMS,Adams,2007,Ritzville Police Department,1730,80,46.2,2,1.2,0,1,0,1,78,45,0,21,54,3
ADAMS,Adams,2008,Ritzville Police Department,1740,67,38.5,0,0,0,0,0,0,67,39,0,16,48,3
ADAMS,Adams,2009,Ritzville Police Department,1740,62,35.6,0,0,0,0,0,0,62,36,1,16,42,3
ADAMS,Adams,2010,Ritzville Police Department,1745,71,40.7,4,2.3,0,0,1,3,67,38,0,12,51,4
ADAMS,Adams,2011,Ritzville Police Department,1705,63,37,1,0.6,0,0,0,1,62,36,1,20,40,1
ASOTIN,Asotin,1994,Asotin County Sheriffs Office,11042,329,29.8,17,1.5,1,2,0,14,312,28,0,74,227,11
ASOTIN,Asotin,1995,Asotin County Sheriffs Office,11210,361,32.2,15,1.3,0,9,1,5,346,31,2,75,236,33
ASOTIN,Asotin,1996,Asotin County Sheriffs Office,12740,457,35.9,26,2,0,9,1,16,431,34,0,105,272,54
ASOTIN,Asotin,1997,Asotin County Sheriffs Office,12830,365,28.4,7,0.5,0,4,0,3,358,28,1,83,252,22
ASOTIN,Asotin,1998,Asotin County Sheriffs Office,13110,392,29.9,15,1.1,0,6,1,8,377,29,1,110,236,30
ASOTIN,Asotin,1999,Asotin County Sheriffs Office,13085,342,26.1,6,0.5,0,2,0,4,336,26,0,95,226,15
ASOTIN,Asotin,2000,Asotin County Sheriffs Office,13110,393,30,13,1,0,3,1,9,380,29,2,65,293,20
ASOTIN,Asotin,2001,Asotin County Sheriffs Office,13320,351,26.4,17,1.3,0,4,0,13,334,25,1,85,235,13
ASOTIN,Asotin,2002,Asotin County Sheriffs Office,13355,368,27.6,22,1.6,0,7,0,15,346,26,0,77,244,25
ASOTIN,Asotin,2003,Asotin County Sheriffs Office,13310,298,22.4,17,1.3,0,2,1,14,281,21,2,66,200,13
ASOTIN,Asotin,2004,Asotin County Sheriffs Office,13420,272,20.3,25,1.9,1,4,1,19,247,18,0,49,177,21
ASOTIN,Asotin,2005,Asotin County Sheriffs Office,12490,199,15.9,18,1.4,1,1,3,13,181,15,0,35,130,16
ASOTIN,Asotin,2006,Asotin County Sheriffs Office,12660,185,14.6,14,1.1,0,0,0,14,171,14,0,39,118,14
ASOTIN,Asotin,2007,Asotin County Sheriffs Office,12840,158,12.3,15,1.2,0,0,3,12,143,11,0,39,94,10
ASOTIN,Asotin,2008,Asotin County Sheriffs Office,12930,206,15.9,14,1.1,1,2,0,11,192,15,0,39,148,5
ASOTIN,Asotin,2009,Asotin County Sheriffs Office,13010,212,16.3,12,0.9,0,1,1,10,200,15,0,41,147,12
ASOTIN,Asotin,2010,Asotin County Sheriffs Office,13200,186,14.1,16,1.2,1,0,0,15,170,13,0,35,131,4
ASOTIN,Asotin,2011,Asotin County Sheriffs Office,13195,233,17.7,18,1.4,0,0,0,18,215,16,0,45,160,10
ASOTIN,Asotin,2005,Asotin Police Department,1130,21,18.6,0,0,0,0,0,0,21,19,0,2,17,2
ASOTIN,Asotin,2006,Asotin Police Department,1165,39,33.5,4,3.4,0,1,0,3,35,30,1,12,18,4
ASOTIN,Asotin,2007,Asotin Police Department,1180,43,36.4,3,2.5,0,0,0,3,40,34,1,10,26,3
ASOTIN,Asotin,2008,Asotin Police Department,1210,30,24.8,4,3.3,0,0,0,4,26,22,0,5,21,0
ASOTIN,Asotin,2009,Asotin Police Department,1230,32,26,17,13.8,0,0,1,16,15,12,0,6,8,1
ASOTIN,Asotin,2010,Asotin Police Department,1235,23,18.6,5,4,0,0,0,5,18,15,0,4,12,2
ASOTIN,Asotin,2011,Asotin Police Department,1255,34,27.1,4,3.2,0,0,0,4,30,24,0,10,18,2
ASOTIN,Asotin,1994,COUNTY TOTAL,17792,928,52.2,72,4,1,6,3,62,856,48,4,156,662,34
ASOTIN,Asotin,1995,COUNTY TOTAL,18020,1271,70.5,64,3.6,0,12,3,49,1207,67,7,217,901,82
ASOTIN,Asotin,1996,COUNTY TOTAL,19600,1207,61.6,61,3.1,0,15,4,42,1146,59,3,190,880,73
ASOTIN,Asotin,1997,COUNTY TOTAL,19700,1125,57.1,38,1.9,0,10,3,25,1087,55,4,172,861,50
ASOTIN,Asotin,1998,COUNTY TOTAL,20000,1001,50.1,47,2.4,1,10,7,29,954,48,7,208,679,60
ASOTIN,Asotin,1999,COUNTY TOTAL,20000,902,45.1,38,1.9,1,7,3,27,864,43,2,184,645,33
ASOTIN,Asotin,2000,COUNTY TOTAL,20000,897,44.9,43,2.2,1,9,5,28,854,43,2,125,686,41
ASOTIN,Asotin,2001,COUNTY TOTAL,20700,1003,48.5,59,2.9,0,7,11,41,944,46,15,189,709,31
ASOTIN,Asotin,2002,COUNTY TOTAL,20700,860,41.5,49,2.4,0,16,2,31,811,39,1,163,603,44
ASOTIN,Asotin,2003,COUNTY TOTAL,20600,853,41.4,46,2.2,0,6,4,36,807,39,4,172,581,50
ASOTIN,Asotin,2004,COUNTY TOTAL,20700,795,38.4,48,2.3,1,5,1,41,747,36,7,129,554,57
ASOTIN,Asotin,2005,COUNTY TOTAL,20900,660,31.6,44,2.1,1,6,7,30,616,30,4,60,504,48
ASOTIN,Asotin,2006,COUNTY TOTAL,21100,598,28.3,30,1.4,0,2,0,28,568,27,1,84,440,43
ASOTIN,Asotin,2007,COUNTY TOTAL,21300,576,27,33,1.5,0,1,5,27,543,26,3,72,434,34
ASOTIN,Asotin,2008,COUNTY TOTAL,21400,604,28.2,39,1.8,1,2,4,32,565,26,0,82,471,12
ASOTIN,Asotin,2009,COUNTY TOTAL,21500,609,28.3,49,2.3,0,3,7,39,560,26,0,102,425,33
ASOTIN,Asotin,2010,COUNTY TOTAL,21700,614,28.3,39,1.8,1,8,2,28,575,27,4,89,469,13
ASOTIN,Asotin,2011,COUNTY TOTAL,21650,695,32.1,36,1.7,0,0,2,34,659,30,2,110,533,14
ASOTIN,Asotin,1994,Clarkston Police Department,6750,599,88.7,55,8.1,0,4,3,48,544,81,4,82,435,23
ASOTIN,Asotin,1995,Clarkston Police Department,6810,910,133.6,49,7.2,0,3,2,44,861,126,5,142,665,49
ASOTIN,Asotin,1996,Clarkston Police Department,6860,750,109.3,35,5.1,0,6,3,26,715,104,3,85,608,19
ASOTIN,Asotin,1997,Clarkston Police Department,6870,760,110.6,31,4.5,0,6,3,22,729,106,3,89,609,28
ASOTIN,Asotin,1998,Clarkston Police Department,6890,609,88.4,32,4.6,1,4,6,21,577,84,6,98,443,30
ASOTIN,Asotin,1999,Clarkston Police Department,6915,560,81,32,4.6,1,5,3,23,528,76,2,89,419,18
ASOTIN,Asotin,2000,Clarkston Police Department,6890,504,73.1,30,4.4,1,6,4,19,474,69,0,60,393,21
ASOTIN,Asotin,2001,Clarkston Police Department,7380,652,88.3,42,5.7,0,3,11,28,610,83,14,104,474,18
ASOTIN,Asotin,2002,Clarkston Police Department,7345,492,67,27,3.7,0,9,2,16,465,63,1,86,359,19
ASOTIN,Asotin,2003,Clarkston Police Department,7290,555,76.1,29,4,0,4,3,22,526,72,2,106,381,37
ASOTIN,Asotin,2004,Clarkston Police Department,7280,523,71.8,23,3.2,0,1,0,22,500,69,7,80,377,36
ASOTIN,Asotin,2005,Clarkston Police Department,7280,440,60.4,26,3.6,0,5,4,17,414,57,4,23,357,30
ASOTIN,Asotin,2006,Clarkston Police Department,7275,374,51.4,12,1.6,0,1,0,11,362,50,0,33,304,25
ASOTIN,Asotin,2007,Clarkston Police Department,7280,375,51.5,15,2.1,0,1,2,12,360,50,2,23,314,21
ASOTIN,Asotin,2008,Clarkston Police Department,7260,368,50.7,21,2.9,0,0,4,17,347,48,0,38,302,7
ASOTIN,Asotin,2009,Clarkston Police Department,7260,365,50.3,20,2.8,0,2,5,13,345,48,0,55,270,20
ASOTIN,Asotin,2010,Clarkston Police Department,7265,405,55.7,18,2.5,0,8,2,8,387,53,4,50,326,7
ASOTIN,Asotin,2011,Clarkston Police Department,7200,428,59.4,14,1.9,0,0,2,12,414,58,2,55,355,2
BENTON,Benton,1994,Benton County Sheriffs Office,34715,1064,30.6,128,3.7,4,24,4,96,936,27,15,198,665,58
BENTON,Benton,1995,Benton County Sheriffs Office,35390,1163,32.9,105,3,4,18,6,77,1058,30,11,304,697,46
BENTON,Benton,1996,Benton County Sheriffs Office,35445,961,27.1,62,1.7,3,11,2,46,899,25,3,210,644,42
BENTON,Benton,1997,Benton County Sheriffs Office,36690,967,26.4,88,2.4,1,20,2,65,879,24,9,293,523,54
BENTON,Benton,1998,Benton County Sheriffs Office,38090,911,23.9,93,2.4,2,14,3,74,818,22,14,242,518,44
BENTON,Benton,1999,Benton County Sheriffs Office,38545,711,18.4,77,2,0,17,1,59,634,16,7,171,414,42
BENTON,Benton,2000,Benton County Sheriffs Office,37245,796,21.4,87,2.3,1,15,4,67,709,19,15,211,433,50
BENTON,Benton,2001,Benton County Sheriffs Office,36070,918,25.5,81,2.2,0,10,2,69,837,23,17,202,559,59
BENTON,Benton,2002,Benton County Sheriffs Office,37335,897,24,86,2.3,0,11,3,72,811,22,16,210,524,61
BENTON,Benton,2003,Benton County Sheriffs Office,37755,852,22.6,86,2.3,1,7,6,72,766,20,11,249,462,44
BENTON,Benton,2004,Benton County Sheriffs Office,38645,879,22.7,80,2.1,1,10,4,65,799,21,15,230,486,68
BENTON,Benton,2005,Benton County Sheriffs Office,38915,869,22.3,53,1.4,3,4,2,44,816,21,8,211,487,110
BENTON,Benton,2006,Benton County Sheriffs Office,39035,802,20.5,61,1.6,1,6,4,50,741,19,6,184,495,56
BENTON,Benton,2007,Benton County Sheriffs Office,39385,685,17.4,57,1.4,2,7,1,47,628,16,9,211,371,37
BENTON,Benton,2008,Benton County Sheriffs Office,37305,623,16.7,68,1.8,0,9,5,54,555,15,4,206,310,35
BENTON,Benton,2009,Benton County Sheriffs Office,37930,605,16,74,2,0,10,6,58,531,14,0,192,303,36
BENTON,Benton,2010,Benton County Sheriffs Office,38480,620,16.1,59,1.5,2,5,5,47,561,15,0,198,316,47
BENTON,Benton,2011,Benton County Sheriffs Office,36165,715,19.8,64,1.8,0,10,8,46,651,18,6,231,350,64
BENTON,Benton,1994,COUNTY TOTAL,127000,6225,49,400,3.1,4,70,61,265,5825,46,45,802,4752,226
BENTON,Benton,1995,COUNTY TOTAL,131000,6875,52.5,433,3.3,7,61,69,296,6442,49,60,1005,5004,373
BENTON,Benton,1996,COUNTY TOTAL,131000,5929,45.3,328,2.5,4,56,53,215,5601,43,58,949,4330,264
BENTON,Benton,1997,COUNTY TOTAL,134100,6120,45.6,361,2.7,1,59,50,251,5759,43,48,1010,4367,334
BENTON,Benton,1998,COUNTY TOTAL,137500,6245,45.4,401,2.9,7,57,71,266,5844,43,61,967,4546,270
BENTON,Benton,1999,COUNTY TOTAL,138900,5364,38.6,340,2.4,1,56,48,235,5024,36,74,822,3886,242
BENTON,Benton,2000,COUNTY TOTAL,140700,5432,38.6,351,2.5,2,52,51,246,5081,36,62,885,3849,285
BENTON,Benton,2001,COUNTY TOTAL,144800,6117,42.2,359,2.5,2,43,59,255,5758,40,65,889,4406,398
BENTON,Benton,2002,COUNTY TOTAL,147600,5449,36.9,340,2.3,4,42,55,239,5109,35,43,958,3691,417
BENTON,Benton,2003,COUNTY TOTAL,151600,5493,36.2,402,2.7,4,45,47,306,5091,34,44,1056,3732,259
BENTON,Benton,2004,COUNTY TOTAL,155100,6196,39.9,389,2.5,5,46,60,278,5807,37,71,1226,4159,351
BENTON,Benton,2005,COUNTY TOTAL,158100,6227,39.4,403,2.5,7,49,49,298,5824,37,50,1038,4289,447
BENTON,Benton,2006,COUNTY TOTAL,160600,5721,35.6,471,2.9,3,47,53,368,5250,33,44,1026,3840,340
BENTON,Benton,2007,COUNTY TOTAL,162900,4996,30.7,407,2.5,3,61,56,287,4589,28,44,847,3401,297
BENTON,Benton,2008,COUNTY TOTAL,165500,4779,28.9,415,2.5,1,75,60,279,4364,26,43,902,3145,274
BENTON,Benton,2009,COUNTY TOTAL,169300,4735,28,424,2.5,0,73,52,299,4311,26,49,761,3234,267
BENTON,Benton,2010,COUNTY TOTAL,172900,4816,27.9,383,2.2,3,49,54,277,4433,26,33,792,3357,251
BENTON,Benton,2011,COUNTY TOTAL,177900,5470,30.7,415,2.3,3,57,54,301,5055,28,58,995,3686,316
BENTON,Benton,1994,Kennewick Police Department,46960,3539,75.4,218,4.6,0,37,41,140,3321,71,18,408,2770,125
BENTON,Benton,1995,Kennewick Police Department,48130,3653,75.9,217,4.5,2,20,53,142,3436,71,25,406,2772,233
BENTON,Benton,1996,Kennewick Police Department,48010,3167,66,172,3.6,0,25,42,105,2995,62,25,452,2366,152
BENTON,Benton,1997,Kennewick Police Department,49090,3515,71.6,185,3.8,0,28,33,124,3330,68,26,469,2631,204
BENTON,Benton,1998,Kennewick Police Department,50390,3704,73.5,223,4.4,4,34,53,132,3481,69,34,455,2827,165
BENTON,Benton,1999,Kennewick Police Department,50950,3199,62.8,182,3.6,1,28,37,116,3017,59,43,446,2377,151
BENTON,Benton,2000,Kennewick Police Department,53270,3039,57,192,3.6,1,26,38,127,2847,53,31,433,2190,193
BENTON,Benton,2001,Kennewick Police Department,55780,3255,58.4,212,3.8,1,22,44,145,3043,55,28,408,2374,233
BENTON,Benton,2002,Kennewick Police Department,56280,2864,50.9,178,3.2,2,22,39,115,2686,48,13,463,1962,248
BENTON,Benton,2003,Kennewick Police Department,57900,2965,51.2,208,3.6,3,23,32,150,2757,48,26,495,2090,146
BENTON,Benton,2004,Kennewick Police Department,58970,3447,58.5,218,3.7,4,30,41,143,3229,55,39,621,2365,204
BENTON,Benton,2005,Kennewick Police Department,60410,3392,56.1,215,3.6,4,26,35,150,3177,53,27,523,2410,217
BENTON,Benton,2006,Kennewick Police Department,61770,2977,48.2,296,4.8,2,28,33,233,2681,43,30,484,1993,174
BENTON,Benton,2007,Kennewick Police Department,62520,2623,42,236,3.8,1,38,31,166,2387,38,25,341,1862,159
BENTON,Benton,2008,Kennewick Police Department,65860,2647,40.2,235,3.6,1,38,40,156,2412,37,30,409,1810,163
BENTON,Benton,2009,Kennewick Police Department,67180,2597,38.7,244,3.6,0,37,33,174,2353,35,41,352,1812,148
BENTON,Benton,2010,Kennewick Police Department,68570,2819,41.1,238,3.5,0,25,39,174,2581,38,27,391,2038,125
BENTON,Benton,2011,Kennewick Police Department,74665,2887,38.7,224,3,2,25,35,162,2663,36,35,404,2056,168
BENTON,Benton,1994,Prosser Police Department,4630,188,40.6,4,0.9,0,0,1,3,184,40,2,19,158,5
BENTON,Benton,1995,Prosser Police Department,4790,243,50.7,8,1.7,1,0,2,5,235,49,0,39,181,15
BENTON,Benton,1996,Prosser Police Department,4835,192,39.7,11,2.3,0,1,0,10,181,37,0,47,124,10
BENTON,Benton,1997,Prosser Police Department,4840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON,Benton,1998,Prosser Police Department,4865,214,44,9,1.8,0,1,0,8,205,42,3,31,160,11
BENTON,Benton,1999,Prosser Police Department,4900,179,36.5,11,2.2,0,1,1,9,168,34,1,26,135,6
BENTON,Benton,2000,Prosser Police Department,5035,166,33,6,1.2,0,3,0,3,160,32,2,25,126,7
BENTON,Benton,2001,Prosser Police Department,4865,203,41.7,7,1.4,0,1,2,4,196,40,1,28,159,8
BENTON,Benton,2002,Prosser Police Department,4905,195,39.8,2,0.4,0,0,0,2,193,39,1,35,148,9
BENTON,Benton,2003,Prosser Police Department,4940,189,38.3,3,0.6,0,0,0,3,186,38,0,29,147,10
BENTON,Benton,2004,Prosser Police Department,4985,226,45.3,11,2.2,0,2,1,8,215,43,0,35,170,10
BENTON,Benton,2005,Prosser Police Department,5045,189,37.5,6,1.2,0,0,1,5,183,36,3,23,138,19
BENTON,Benton,2006,Prosser Police Department,5045,210,41.6,5,1,0,1,0,4,205,41,0,37,151,17
BENTON,Benton,2007,Prosser Police Department,5075,205,40.4,5,1,0,1,1,3,200,39,2,39,143,16
BENTON,Benton,2008,Prosser Police Department,5075,216,42.6,6,1.2,0,1,1,4,210,41,1,51,139,19
BENTON,Benton,2009,Prosser Police Department,5110,151,29.5,6,1.2,0,3,1,2,145,28,2,31,102,10
BENTON,Benton,2010,Prosser Police Department,5140,173,33.7,6,1.2,1,3,0,2,167,33,0,35,118,14
BENTON,Benton,2011,Prosser Police Department,5780,182,31.5,19,3.3,0,5,3,11,163,28,2,48,98,15
BENTON,Benton,1994,Richland Police Department,35430,1358,38.3,46,1.3,0,9,15,22,1312,37,10,161,1105,36
BENTON,Benton,1995,Richland Police Department,36270,1706,47,89,2.5,0,21,8,60,1617,45,22,240,1281,74
BENTON,Benton,1996,Richland Police Department,35990,1473,40.9,74,2.1,1,18,9,46,1399,39,30,205,1108,56
BENTON,Benton,1997,Richland Police Department,36550,1556,42.6,72,2,0,11,15,46,1484,41,13,243,1164,64
BENTON,Benton,1998,Richland Police Department,36860,1282,34.8,63,1.7,1,8,13,41,1219,33,10,217,950,42
BENTON,Benton,1999,Richland Police Department,36880,1164,31.6,59,1.6,0,8,9,42,1105,30,23,161,881,40
BENTON,Benton,2000,Richland Police Department,37190,1313,35.3,63,1.7,0,7,9,47,1250,34,13,180,1026,31
BENTON,Benton,2001,Richland Police Department,39350,1616,41.1,50,1.3,1,8,9,32,1566,40,19,223,1235,89
BENTON,Benton,2002,Richland Police Department,40150,1376,34.3,62,1.5,2,8,13,39,1314,33,13,224,982,95
BENTON,Benton,2003,Richland Police Department,41650,1331,32,82,2,0,14,9,59,1249,30,7,242,947,53
BENTON,Benton,2004,Richland Police Department,42660,1473,34.5,70,1.6,0,4,13,53,1403,33,17,291,1034,61
BENTON,Benton,2005,Richland Police Department,43520,1597,36.7,120,2.8,0,17,11,92,1477,34,10,240,1140,87
BENTON,Benton,2006,Richland Police Department,44230,1543,34.9,100,2.3,0,10,14,76,1443,33,5,282,1069,87
BENTON,Benton,2007,Richland Police Department,45070,1360,30.2,105,2.3,0,13,23,69,1255,28,6,213,960,76
BENTON,Benton,2008,Richland Police Department,46080,1156,25.1,101,2.2,0,25,14,62,1055,23,7,206,788,54
BENTON,Benton,2009,Richland Police Department,47410,1192,25.1,92,1.9,0,22,12,58,1100,23,5,160,873,62
BENTON,Benton,2010,Richland Police Department,48580,1027,21.1,66,1.4,0,12,8,46,961,20,5,146,751,59
BENTON,Benton,2011,Richland Police Department,49090,1500,30.6,89,1.8,1,13,8,67,1411,29,14,260,1074,63
BENTON,Benton,1994,West Richland Police Department,5265,76,14.4,4,0.8,0,0,0,4,72,14,0,16,54,2
BENTON,Benton,1995,West Richland Police Department,6420,110,17.1,14,2.2,0,2,0,12,96,15,2,16,73,5
BENTON,Benton,1996,West Richland Police Department,6720,136,20.2,9,1.3,0,1,0,8,127,19,0,35,88,4
BENTON,Benton,1997,West Richland Police Department,6930,82,11.8,16,2.3,0,0,0,16,66,10,0,5,49,12
BENTON,Benton,1998,West Richland Police Department,7295,134,18.4,13,1.8,0,0,2,11,121,17,0,22,91,8
BENTON,Benton,1999,West Richland Police Department,7625,111,14.6,11,1.4,0,2,0,9,100,13,0,18,79,3
BENTON,Benton,2000,West Richland Police Department,7960,118,14.8,3,0.4,0,1,0,2,115,14,1,36,74,4
BENTON,Benton,2001,West Richland Police Department,8735,125,14.3,9,1,0,2,2,5,116,13,0,28,79,9
BENTON,Benton,2002,West Richland Police Department,8930,117,13.1,12,1.3,0,1,0,11,105,12,0,26,75,4
BENTON,Benton,2003,West Richland Police Department,9355,156,16.7,23,2.5,0,1,0,22,133,14,0,41,86,6
BENTON,Benton,2004,West Richland Police Department,9840,171,17.4,10,1,0,0,1,9,161,16,0,49,104,8
BENTON,Benton,2005,West Richland Police Department,10210,180,17.6,9,0.9,0,2,0,7,171,17,2,41,114,14
