"","upper","COUNTY","INDEXYEAR","LOCATION","POPULATION","TOTAL","RATE","VTOTAL","VRATE","MURDER","RAPE","ROBBERY","ASSAULT","PTOTAL","PRATE","ARSON","BURGLARY","THEFT","MVTHEFT"
"420","OKANOGAN","Okanogan",1995,"COUNTY TOTAL",36896,1493,40.5,140,3.8,4,21,10,105,1353,37,7,323,951,72
"421","OKANOGAN","Okanogan",1996,"COUNTY TOTAL",37480,1476,39.4,101,2.7,6,11,3,81,1375,37,10,298,983,84
"422","OKANOGAN","Okanogan",1997,"COUNTY TOTAL",38201,1350,35.3,92,2.4,1,16,9,66,1258,33,5,337,845,71
"423","OKANOGAN","Okanogan",1998,"COUNTY TOTAL",38167,1185,31,99,2.6,4,7,3,85,1086,29,7,274,747,58
"424","OKANOGAN","Okanogan",1999,"COUNTY TOTAL",38148,1055,27.7,95,2.5,2,10,7,76,960,25,14,233,664,49
"425","OKANOGAN","Okanogan",2000,"COUNTY TOTAL",38248,1027,26.9,82,2.1,2,12,5,63,945,25,7,231,661,46
"426","OKANOGAN","Okanogan",2001,"COUNTY TOTAL",39620,1051,26.5,82,2.1,0,11,5,66,969,25,8,249,652,60
"427","OKANOGAN","Okanogan",2002,"COUNTY TOTAL",39766,938,23.6,86,2.2,0,16,5,65,852,21,0,213,598,41
"428","OKANOGAN","Okanogan",2003,"COUNTY TOTAL",39565,1003,25.4,96,2.4,0,24,7,65,907,23,10,211,629,57
"429","OKANOGAN","Okanogan",2004,"COUNTY TOTAL",39565,1263,31.9,98,2.5,3,17,12,66,1165,29,8,345,716,96
"430","OKANOGAN","Okanogan",2005,"COUNTY TOTAL",39775,1307,32.9,115,2.9,2,27,6,80,1192,30,7,344,789,52
"431","OKANOGAN","Okanogan",2006,"COUNTY TOTAL",39524,1346,34.1,112,2.8,1,21,8,82,1234,31,2,258,906,68
"432","OKANOGAN","Okanogan",2007,"COUNTY TOTAL",40509,1127,27.8,75,1.9,0,19,5,51,1052,26,11,258,719,64
"433","OKANOGAN","Okanogan",2008,"COUNTY TOTAL",39830,1112,27.9,55,1.4,0,12,9,34,1057,27,2,336,658,61
"434","OKANOGAN","Okanogan",2009,"COUNTY TOTAL",40230,908,22.6,59,1.5,2,14,7,36,849,21,2,260,530,57
"435","OKANOGAN","Okanogan",2010,"COUNTY TOTAL",40625,870,21.4,65,1.6,1,9,14,41,805,20,3,211,522,69
"436","OKANOGAN","Okanogan",2011,"COUNTY TOTAL",40910,808,19.8,91,2.2,2,7,8,74,717,18,1,204,465,47
"437","PACIFIC","Pacific",1994,"COUNTY TOTAL",20300,807,39.8,54,2.7,2,7,1,44,753,37,2,254,461,36
"438","PACIFIC","Pacific",1995,"COUNTY TOTAL",20800,927,44.6,58,2.8,0,7,3,48,869,42,5,254,571,39
"439","PACIFIC","Pacific",1996,"COUNTY TOTAL",21100,936,44.4,79,3.7,2,9,4,64,857,41,3,236,564,54
"440","PACIFIC","Pacific",1997,"COUNTY TOTAL",21300,894,42,67,3.1,1,4,2,60,827,39,5,255,529,38
"441","PACIFIC","Pacific",1998,"COUNTY TOTAL",21500,1015,47.2,92,4.3,1,8,6,77,923,43,6,269,592,56
"442","PACIFIC","Pacific",1999,"COUNTY TOTAL",21500,771,35.9,65,3,0,11,5,49,706,33,6,205,455,40
"443","PACIFIC","Pacific",2000,"COUNTY TOTAL",21300,707,33.2,49,2.3,1,7,3,38,658,31,3,212,407,36
"444","PACIFIC","Pacific",2001,"COUNTY TOTAL",21000,727,34.6,54,2.6,1,5,1,47,673,32,3,228,408,34
"445","PACIFIC","Pacific",2002,"COUNTY TOTAL",21000,672,32,56,2.7,0,9,5,42,616,29,0,230,361,25
"446","PACIFIC","Pacific",2003,"COUNTY TOTAL",20900,850,40.7,39,1.9,1,9,3,26,811,39,1,267,498,45
"447","PACIFIC","Pacific",2004,"COUNTY TOTAL",21000,973,46.3,45,2.1,0,4,4,37,928,44,6,365,513,44
"448","PACIFIC","Pacific",2005,"COUNTY TOTAL",21300,1029,48.3,46,2.2,2,5,4,35,983,46,4,307,608,64
"449","PACIFIC","Pacific",2006,"COUNTY TOTAL",21500,866,40.3,39,1.8,1,7,3,28,827,39,2,307,466,52
"450","PACIFIC","Pacific",2007,"COUNTY TOTAL",21600,705,32.6,30,1.4,0,6,2,22,675,31,1,231,390,53
"451","PACIFIC","Pacific",2008,"COUNTY TOTAL",21800,711,32.6,50,2.3,0,6,2,42,661,30,5,241,383,32
"452","PACIFIC","Pacific",2009,"COUNTY TOTAL",21800,589,27,57,2.6,2,10,1,44,532,24,2,212,300,18
"453","PACIFIC","Pacific",2010,"COUNTY TOTAL",22100,685,31,34,1.5,0,6,3,25,651,30,5,250,363,33
"454","PACIFIC","Pacific",2011,"COUNTY TOTAL",20900,540,25.8,24,1.1,1,8,1,14,516,25,1,221,275,19
"455","PEND OREILLE","Pend Oreille",1994,"COUNTY TOTAL",10500,551,52.5,49,4.7,1,12,0,36,502,48,3,119,350,30
"456","PEND OREILLE","Pend Oreille",1995,"COUNTY TOTAL",10700,532,49.7,58,5.4,2,8,2,46,474,44,3,141,303,27
"457","PEND OREILLE","Pend Oreille",1996,"COUNTY TOTAL",10460,387,37,19,1.8,0,4,1,14,368,35,1,93,261,13
