"","upper","COUNTY","INDEXYEAR","LOCATION","POPULATION","TOTAL","RATE","VTOTAL","VRATE","MURDER","RAPE","ROBBERY","ASSAULT","PTOTAL","PRATE","ARSON","BURGLARY","THEFT","MVTHEFT"
"458","PEND OREILLE","Pend Oreille",1997,"COUNTY TOTAL",10563,419,39.7,19,1.8,0,3,1,15,400,38,0,129,245,26
"459","PEND OREILLE","Pend Oreille",1998,"COUNTY TOTAL",10070,442,43.9,17,1.7,0,2,0,15,425,42,2,123,273,27
"460","PEND OREILLE","Pend Oreille",1999,"COUNTY TOTAL",10000,403,40.3,25,2.5,0,3,2,20,378,38,5,96,265,12
"461","PEND OREILLE","Pend Oreille",2000,"COUNTY TOTAL",10585,403,38.1,16,1.5,0,5,2,9,387,37,1,118,249,19
"462","PEND OREILLE","Pend Oreille",2001,"COUNTY TOTAL",11415,473,41.4,36,3.2,1,6,2,27,437,38,0,103,299,35
"463","PEND OREILLE","Pend Oreille",2002,"COUNTY TOTAL",11415,407,35.7,21,1.8,0,3,4,14,386,34,2,119,245,20
"464","PEND OREILLE","Pend Oreille",2003,"COUNTY TOTAL",11595,482,41.6,28,2.4,1,2,1,24,454,39,1,105,309,39
"465","PEND OREILLE","Pend Oreille",2004,"COUNTY TOTAL",11900,502,42.2,17,1.4,0,3,0,14,485,41,0,172,282,31
"466","PEND OREILLE","Pend Oreille",2005,"COUNTY TOTAL",12200,564,46.2,18,1.5,0,3,1,14,546,45,2,148,358,38
"467","PEND OREILLE","Pend Oreille",2006,"COUNTY TOTAL",12300,510,41.5,7,0.6,1,2,0,4,503,41,2,147,325,29
"468","PEND OREILLE","Pend Oreille",2007,"COUNTY TOTAL",12600,419,33.3,6,0.5,1,1,1,3,413,33,0,93,294,26
"469","PEND OREILLE","Pend Oreille",2008,"COUNTY TOTAL",12800,401,31.3,7,0.5,0,1,2,4,394,31,0,107,257,30
"470","PEND OREILLE","Pend Oreille",2009,"COUNTY TOTAL",12735,343,26.9,5,0.4,0,1,0,4,338,27,1,82,234,21
"471","PEND OREILLE","Pend Oreille",2010,"COUNTY TOTAL",12940,440,34,16,1.2,0,0,0,16,424,33,2,140,243,39
"472","PEND OREILLE","Pend Oreille",2011,"COUNTY TOTAL",13000,428,32.9,17,1.3,0,1,0,16,411,32,0,133,252,26
"473","PIERCE","Pierce",1994,"COUNTY TOTAL",645671,46084,71.4,5941,9.2,64,442,1445,3990,40143,62,357,7895,26527,5364
"474","PIERCE","Pierce",1995,"COUNTY TOTAL",656602,47097,71.7,5660,8.6,53,386,1401,3820,41437,63,326,8368,27856,4887
"475","PIERCE","Pierce",1996,"COUNTY TOTAL",559472,45529,81.4,4866,8.7,45,304,1218,3299,40663,73,270,7959,27356,5078
"476","PIERCE","Pierce",1997,"COUNTY TOTAL",670240,46785,69.8,5291,7.9,36,385,1330,3540,41494,62,302,8532,27502,5158
"477","PIERCE","Pierce",1998,"COUNTY TOTAL",681185,45884,67.4,4878,7.2,46,337,1305,3190,41006,60,296,8284,26916,5510
"478","PIERCE","Pierce",1999,"COUNTY TOTAL",694005,43053,62,4388,6.3,20,348,1111,2909,38665,56,223,8045,25010,5387
"479","PIERCE","Pierce",2000,"COUNTY TOTAL",702330,46769,66.6,4544,6.5,33,341,1205,2965,42225,60,307,8276,27476,6166
"480","PIERCE","Pierce",2001,"COUNTY TOTAL",713505,43014,60.3,3783,5.3,33,333,1199,2218,39231,55,243,7230,25270,6488
"481","PIERCE","Pierce",2002,"COUNTY TOTAL",723765,44612,61.6,4004,5.5,29,402,1098,2475,40608,56,282,7541,26427,6358
"482","PIERCE","Pierce",2003,"COUNTY TOTAL",732915,42217,57.6,4179,5.7,27,344,1165,2643,38038,52,231,7610,24253,5944
"483","PIERCE","Pierce",2004,"COUNTY TOTAL",742200,42766,57.6,4031,5.4,26,385,1185,2435,38735,52,234,8130,24006,6365
"484","PIERCE","Pierce",2005,"COUNTY TOTAL",746970,44104,59,4087,5.5,28,331,1121,2607,40017,54,237,8348,24022,7410
"485","PIERCE","Pierce",2006,"COUNTY TOTAL",763055,43249,56.7,4204,5.5,35,353,1174,2642,39045,51,268,8414,23276,7087
"486","PIERCE","Pierce",2007,"COUNTY TOTAL",784590,39515,50.4,4105,5.2,29,297,1087,2692,35410,45,251,7274,21343,6542
"487","PIERCE","Pierce",2008,"COUNTY TOTAL",799515,39516,49.4,4202,5.3,30,371,1101,2700,35314,44,228,7266,22461,5359
"488","PIERCE","Pierce",2009,"COUNTY TOTAL",807675,38759,48,4188,5.2,33,339,1227,2589,34571,43,170,7846,22767,3788
"489","PIERCE","Pierce",2010,"COUNTY TOTAL",808230,35446,43.9,3751,4.6,26,317,1075,2333,31695,39,167,7944,19484,4100
"490","PIERCE","Pierce",2011,"COUNTY TOTAL",795245,34465,43.3,3339,4.2,23,296,906,2114,31126,39,177,7711,19150,4088
"491","PIERCE","Pierce",2012,"COUNTY TOTAL",16398,959,58.5,65,4,0,5,15,45,894,55,2,209,566,117
"492","SAN JUAN","San Juan",1994,"COUNTY TOTAL",12100,427,35.3,11,0.9,0,1,2,8,416,34,3,99,294,20
"493","SAN JUAN","San Juan",1995,"COUNTY TOTAL",12300,368,29.9,5,0.4,0,0,1,4,363,30,2,118,236,7
"494","SAN JUAN","San Juan",1996,"COUNTY TOTAL",12400,317,25.6,2,0.2,0,0,0,2,315,25,0,75,233,7
"495","SAN JUAN","San Juan",1997,"COUNTY TOTAL",12500,284,22.7,10,0.8,0,0,0,10,274,22,0,84,178,12
"496","SAN JUAN","San Juan",1998,"COUNTY TOTAL",12600,256,20.3,7,0.6,1,0,1,5,249,20,1,81,162,5
"497","SAN JUAN","San Juan",1999,"COUNTY TOTAL",12700,254,20,2,0.2,0,0,0,2,252,20,2,61,177,12
"498","SAN JUAN","San Juan",2000,"COUNTY TOTAL",12700,227,17.9,6,0.5,0,0,0,6,221,17,1,64,144,12
"499","SAN JUAN","San Juan",2001,"COUNTY TOTAL",14400,244,16.9,5,0.3,0,0,1,4,239,17,0,73,151,15
"500","SAN JUAN","San Juan",2002,"COUNTY TOTAL",14600,217,14.9,8,0.5,1,0,0,7,209,14,3,45,154,7
"501","SAN JUAN","San Juan",2003,"COUNTY TOTAL",14800,233,15.7,10,0.7,0,4,0,6,223,15,1,74,135,13
"502","SAN JUAN","San Juan",2004,"COUNTY TOTAL",15100,242,16,7,0.5,0,1,1,5,235,16,1,54,164,16
"503","SAN JUAN","San Juan",2005,"COUNTY TOTAL",15500,297,19.2,9,0.6,0,3,0,6,288,19,2,103,161,22
"504","SAN JUAN","San Juan",2006,"COUNTY TOTAL",15700,257,16.4,9,0.6,0,3,2,4,248,16,0,64,161,23
"505","SAN JUAN","San Juan",2007,"COUNTY TOTAL",15900,231,14.5,9,0.6,0,2,1,6,222,14,2,60,136,24
"506","SAN JUAN","San Juan",2008,"COUNTY TOTAL",16100,264,16.4,7,0.4,1,0,0,6,257,16,1,86,152,18
"507","SAN JUAN","San Juan",2009,"COUNTY TOTAL",16300,280,17.2,9,0.6,0,2,0,7,271,17,1,90,166,14
"508","SAN JUAN","San Juan",2010,"COUNTY TOTAL",16500,202,12.2,14,0.8,0,4,0,10,188,11,5,66,105,12
"509","SAN JUAN","San Juan",2011,"COUNTY TOTAL",15900,200,12.6,19,1.2,1,1,0,17,181,11,4,52,111,14
"510","SKAGIT","Skagit",1994,"COUNTY TOTAL",90260,4972,55.1,169,1.9,3,49,28,89,4803,53,46,716,3845,196
"511","SKAGIT","Skagit",1995,"COUNTY TOTAL",92360,6410,69.4,148,1.6,3,40,32,73,6262,68,43,884,5112,223
"512","SKAGIT","Skagit",1996,"COUNTY TOTAL",94735,6159,65,183,1.9,1,39,45,98,5976,63,52,821,4929,174
"513","SKAGIT","Skagit",1997,"COUNTY TOTAL",96130,5600,58.3,148,1.5,2,37,37,72,5452,57,43,790,4406,213
"514","SKAGIT","Skagit",1998,"COUNTY TOTAL",97915,6075,62,148,1.5,2,44,44,58,5927,61,29,907,4762,229
"515","SKAGIT","Skagit",1999,"COUNTY TOTAL",99820,6378,63.9,165,1.7,2,34,39,90,6213,62,13,1210,4730,260
"516","SKAGIT","Skagit",2000,"COUNTY TOTAL",101520,6103,60.1,141,1.4,4,36,39,62,5962,59,32,998,4615,317
"517","SKAGIT","Skagit",2001,"COUNTY TOTAL",103310,6481,62.7,172,1.7,3,51,43,75,6309,61,34,1007,4940,328
"518","SKAGIT","Skagit",2002,"COUNTY TOTAL",104310,6761,64.8,197,1.9,4,61,39,93,6564,63,34,1105,5018,407
"519","SKAGIT","Skagit",2003,"COUNTY TOTAL",105920,7217,68.1,227,2.1,1,74,47,105,6990,66,46,1367,5153,424
"520","SKAGIT","Skagit",2004,"COUNTY TOTAL",108800,7792,71.6,281,2.6,2,67,62,150,7511,69,38,1288,5721,464
"521","SKAGIT","Skagit",2005,"COUNTY TOTAL",110900,8705,78.5,241,2.2,3,60,52,126,8464,76,56,1592,6229,587
"522","SKAGIT","Skagit",2006,"COUNTY TOTAL",113100,7016,62,259,2.3,2,71,60,126,6757,60,68,1150,5010,529
"523","SKAGIT","Skagit",2007,"COUNTY TOTAL",115300,6844,59.4,228,2,2,42,67,117,6616,57,35,1183,4918,480
"524","SKAGIT","Skagit",2008,"COUNTY TOTAL",117500,5637,48,243,2.1,9,50,55,129,5394,46,44,1069,3939,342
"525","SKAGIT","Skagit",2009,"COUNTY TOTAL",118900,5742,48.3,231,1.9,3,51,54,123,5511,46,42,1012,4191,266
"526","SKAGIT","Skagit",2010,"COUNTY TOTAL",119300,6246,52.4,252,2.1,0,50,54,148,5994,50,30,1144,4605,215
"527","SKAGIT","Skagit",2011,"COUNTY TOTAL",117400,5450,46.4,240,2,4,47,64,125,5210,44,24,1180,3750,256
"528","SKAMANIA","Skamania",1994,"COUNTY TOTAL",9300,395,42.5,36,3.9,2,8,1,25,359,39,0,79,269,11
"529","SKAMANIA","Skamania",1995,"COUNTY TOTAL",9550,464,48.6,32,3.4,0,8,0,24,432,45,0,88,321,23
"530","SKAMANIA","Skamania",1996,"COUNTY TOTAL",9800,420,42.9,27,2.8,1,5,0,21,393,40,6,70,298,19
"531","SKAMANIA","Skamania",1997,"COUNTY TOTAL",9900,351,35.5,23,2.3,2,5,0,16,328,33,1,78,230,19
"532","SKAMANIA","Skamania",1998,"COUNTY TOTAL",9900,302,30.5,33,3.3,0,16,1,16,269,27,4,55,191,19
"533","SKAMANIA","Skamania",1999,"COUNTY TOTAL",9900,253,25.6,24,2.4,0,12,0,12,229,23,1,57,162,9
"534","SKAMANIA","Skamania",2000,"COUNTY TOTAL",9900,267,27,9,0.9,0,2,1,6,258,26,1,65,169,23
"535","SKAMANIA","Skamania",2001,"COUNTY TOTAL",9900,290,29.3,14,1.4,0,2,0,12,276,28,1,62,196,17
"536","SKAMANIA","Skamania",2002,"COUNTY TOTAL",9900,346,34.9,12,1.2,1,2,2,7,334,34,0,68,251,15
"537","SKAMANIA","Skamania",2003,"COUNTY TOTAL",9900,355,35.9,15,1.5,0,4,0,11,340,34,1,66,255,18
"538","SKAMANIA","Skamania",2004,"COUNTY TOTAL",9415,390,41.4,13,1.4,3,7,0,3,377,40,0,72,276,29
"539","SKAMANIA","Skamania",2005,"COUNTY TOTAL",10300,333,32.3,19,1.8,1,4,2,12,314,31,1,72,225,16
"540","SKAMANIA","Skamania",2006,"COUNTY TOTAL",10600,353,33.3,10,0.9,0,5,0,5,343,32,1,78,235,29
"541","SKAMANIA","Skamania",2007,"COUNTY TOTAL",10700,295,27.6,28,2.6,0,8,2,18,267,25,1,54,197,15
"542","SKAMANIA","Skamania",2008,"COUNTY TOTAL",10700,224,20.9,11,1,0,3,1,7,213,20,0,57,137,19
"543","SKAMANIA","Skamania",2009,"COUNTY TOTAL",10800,243,22.5,23,2.1,1,10,1,11,220,20,3,50,144,23
"544","SKAMANIA","Skamania",2010,"COUNTY TOTAL",10900,232,21.3,10,0.9,0,2,0,8,222,20,0,45,157,20
"545","SKAMANIA","Skamania",2011,"COUNTY TOTAL",11150,224,20.1,10,0.9,0,2,0,8,214,19,0,52,151,11
"546","SNOHOMISH","Snohomish",1994,"COUNTY TOTAL",500775,15831,31.6,1004,2,12,277,228,487,14827,30,142,3129,10483,1073
"547","SNOHOMISH","Snohomish",1995,"COUNTY TOTAL",434080,15560,35.8,983,2.3,14,268,229,472,14577,34,108,3044,10100,1325
"548","SNOHOMISH","Snohomish",1996,"COUNTY TOTAL",443880,16285,36.7,988,2.2,14,244,210,520,15297,35,100,3235,10440,1522
"549","SNOHOMISH","Snohomish",1997,"COUNTY TOTAL",538700,24015,44.6,1668,3.1,18,380,459,811,22347,42,173,4892,14394,2888
"550","SNOHOMISH","Snohomish",1998,"COUNTY TOTAL",555250,22865,41.2,1677,3,9,407,412,849,21188,38,169,4393,13530,3096
"551","SNOHOMISH","Snohomish",1999,"COUNTY TOTAL",569990,21040,36.9,1509,2.6,11,439,344,715,19531,34,159,3716,12364,3292
"552","SNOHOMISH","Snohomish",2000,"COUNTY TOTAL",578915,20838,36,1436,2.5,10,422,322,682,19402,34,158,3850,12244,3150
"553","SNOHOMISH","Snohomish",2001,"COUNTY TOTAL",603495,24359,40.4,1582,2.6,12,344,428,798,22777,38,154,3932,14448,4243
"554","SNOHOMISH","Snohomish",2002,"COUNTY TOTAL",612520,24103,39.4,1491,2.4,11,291,400,789,22612,37,170,3733,13989,4720
"555","SNOHOMISH","Snohomish",2003,"COUNTY TOTAL",622840,24106,38.7,1518,2.4,12,288,372,846,22588,36,187,4114,13884,4403
"556","SNOHOMISH","Snohomish",2004,"COUNTY TOTAL",630120,25891,41.1,1592,2.5,18,272,417,885,24299,39,204,4989,14281,4825
"557","SNOHOMISH","Snohomish",2005,"COUNTY TOTAL",641050,29137,45.5,1500,2.3,14,249,407,830,27637,43,156,5193,15842,6446
"558","SNOHOMISH","Snohomish",2006,"COUNTY TOTAL",656710,28369,43.2,1496,2.3,14,225,487,770,26873,41,158,4678,15889,6148
"559","SNOHOMISH","Snohomish",2007,"COUNTY TOTAL",670850,27203,40.6,1578,2.4,17,278,498,785,25625,38,154,5001,15497,4973
"560","SNOHOMISH","Snohomish",2008,"COUNTY TOTAL",676320,22635,33.5,1582,2.3,7,230,488,857,21053,31,136,4289,13754,2874
"561","SNOHOMISH","Snohomish",2009,"COUNTY TOTAL",688350,23832,34.6,1722,2.5,17,198,588,919,22110,32,144,4834,14894,2238
"562","SNOHOMISH","Snohomish",2010,"COUNTY TOTAL",694960,24123,34.7,1590,2.3,11,237,447,895,22533,32,121,4298,15352,2762
"563","SNOHOMISH","Snohomish",2011,"COUNTY TOTAL",700430,21159,30.2,1197,1.7,10,153,327,707,19962,29,109,4023,13752,2078
"564","SNOHOMISH","Snohomish",2012,"COUNTY TOTAL",633588,16638,26.3,1016,1.6,7,103,341,565,15622,25,84,3392,10329,1817
"565","SNOHOMISH","Snohomish",2013,"COUNTY TOTAL",611421,21503,35.2,1198,2,6,128,387,677,20305,33,76,4437,13014,2778
"566","SNOHOMISH","Snohomish",2014,"COUNTY TOTAL",620921,23619,38,1158,1.9,10,151,338,659,22461,36,76,4734,14555,3096
"567","SNOHOMISH","Snohomish",2015,"COUNTY TOTAL",638170,18029,28.3,1039,1.6,10,127,301,601,16990,27,99,3265,11593,2033
"568","SPOKANE","Spokane",1994,"COUNTY TOTAL",391678,26472,67.6,2129,5.4,12,157,598,1362,24343,62,169,4923,17801,1450
"569","SPOKANE","Spokane",1995,"COUNTY TOTAL",401091,26793,66.8,2054,5.1,26,200,569,1259,24739,62,118,4947,18161,1513
"570","SPOKANE","Spokane",1996,"COUNTY TOTAL",406390,26088,64.2,1800,4.4,20,145,449,1186,24288,60,62,5198,17639,1389
"571","SPOKANE","Spokane",1997,"COUNTY TOTAL",409777,26548,64.8,2020,4.9,22,182,529,1287,24528,60,110,5928,16708,1782
"572","SPOKANE","Spokane",1998,"COUNTY TOTAL",406955,28586,70.2,2253,5.5,17,152,631,1453,26333,65,124,6156,17987,2066
"573","SPOKANE","Spokane",1999,"COUNTY TOTAL",410500,24744,60.3,1899,4.6,15,127,509,1248,22845,56,111,5532,15749,1453
"574","SPOKANE","Spokane",2000,"COUNTY TOTAL",410981,25205,61.3,1747,4.3,12,119,475,1141,23458,57,146,4676,16719,1917
"575","SPOKANE","Spokane",2001,"COUNTY TOTAL",418385,26531,63.4,1919,4.6,10,134,571,1204,24612,59,107,4926,17057,2522
"576","SPOKANE","Spokane",2002,"COUNTY TOTAL",412538,24453,59.3,1764,4.3,20,146,481,1117,22689,55,131,4336,15775,2447
"577","SPOKANE","Spokane",2003,"COUNTY TOTAL",423872,25560,60.3,1642,3.9,16,141,459,1026,23918,56,144,4677,16850,2247
"578","SPOKANE","Spokane",2004,"COUNTY TOTAL",431869,28785,66.7,1662,3.8,16,147,380,1119,27123,63,100,5323,19020,2680
"579","SPOKANE","Spokane",2005,"COUNTY TOTAL",436300,21230,48.7,1777,4.1,16,134,362,1265,19453,45,144,3952,12660,2697
"580","SPOKANE","Spokane",2006,"COUNTY TOTAL",443800,20343,45.8,1800,4.1,17,130,468,1185,18543,42,116,3547,11590,3290
"581","SPOKANE","Spokane",2007,"COUNTY TOTAL",451200,19275,42.7,1981,4.4,14,119,496,1352,17294,38,127,3343,11082,2742
"582","SPOKANE","Spokane",2008,"COUNTY TOTAL",459000,19610,42.7,1917,4.2,19,136,559,1203,17693,39,101,3654,11707,2231
"583","SPOKANE","Spokane",2009,"COUNTY TOTAL",465000,21926,47.2,1771,3.8,10,116,538,1107,20155,43,101,4064,13730,2260
"584","SPOKANE","Spokane",2010,"COUNTY TOTAL",470300,25494,54.2,1635,3.5,12,147,526,950,23859,51,59,5022,15960,2818
"585","SPOKANE","Spokane",2011,"COUNTY TOTAL",472650,26341,55.7,1644,3.5,7,128,582,927,24697,52,106,5254,16771,2566
"586","SPOKANE","Spokane",2012,"COUNTY TOTAL",449100,29115,64.8,1708,3.8,17,131,639,921,27407,61,100,5962,18489,2856
"587","SPOKANE","Spokane",2013,"COUNTY TOTAL",452805,30475,67.3,1763,3.9,16,154,640,953,28712,63,80,5813,19665,3154
"588","SPOKANE","Spokane",2014,"COUNTY TOTAL",456545,28739,62.9,1625,3.6,14,190,537,884,27114,59,95,5336,18640,3043
"589","SPOKANE","Spokane",2015,"COUNTY TOTAL",459510,25536,55.6,1555,3.4,17,208,446,884,23981,52,88,4459,17016,2418
"590","STEVENS","Stevens",1994,"COUNTY TOTAL",34242,1134,33.1,60,1.8,2,10,4,44,1074,31,8,286,729,51
"591","STEVENS","Stevens",1995,"COUNTY TOTAL",35140,1332,37.9,50,1.4,3,13,5,29,1282,37,4,310,908,60
"592","STEVENS","Stevens",1996,"COUNTY TOTAL",36340,579,15.9,15,0.4,0,0,3,12,564,16,3,71,457,33
"593","STEVENS","Stevens",1997,"COUNTY TOTAL",37135,1363,36.7,46,1.2,2,8,7,29,1317,36,3,329,939,46
"594","STEVENS","Stevens",1998,"COUNTY TOTAL",37335,1311,35.1,87,2.3,1,9,9,68,1224,33,1,296,869,58
"595","STEVENS","Stevens",1999,"COUNTY TOTAL",37740,1066,28.2,27,0.7,1,4,2,20,1039,28,1,289,722,27
"596","STEVENS","Stevens",2000,"COUNTY TOTAL",37922,1061,28,32,0.8,7,5,1,19,1029,27,3,234,761,31
"597","STEVENS","Stevens",2001,"COUNTY TOTAL",40015,946,23.6,21,0.5,1,8,1,11,925,23,1,237,639,48
"598","STEVENS","Stevens",2002,"COUNTY TOTAL",40115,979,24.4,22,0.5,2,3,4,13,957,24,1,224,671,61
"599","STEVENS","Stevens",2003,"COUNTY TOTAL",40600,1235,30.4,86,2.1,6,14,4,62,1149,28,2,346,731,70
"600","STEVENS","Stevens",2004,"COUNTY TOTAL",40425,1207,29.9,40,1,1,24,3,12,1167,29,5,317,768,77
"601","STEVENS","Stevens",2005,"COUNTY TOTAL",40925,1338,32.7,56,1.4,1,17,9,29,1282,31,2,404,789,87
"602","STEVENS","Stevens",2006,"COUNTY TOTAL",41830,1142,27.3,57,1.4,1,15,8,33,1085,26,1,395,577,112
"603","STEVENS","Stevens",2007,"COUNTY TOTAL",42725,1108,25.9,44,1,1,12,4,27,1064,25,2,305,675,82
"604","STEVENS","Stevens",2008,"COUNTY TOTAL",43425,1071,24.7,46,1.1,1,18,7,20,1025,24,3,304,651,67
"605","STEVENS","Stevens",2009,"COUNTY TOTAL",43720,1031,23.6,60,1.4,1,20,6,33,971,22,2,287,604,78
"606","STEVENS","Stevens",2010,"COUNTY TOTAL",44010,1199,27.2,55,1.2,0,20,8,27,1144,26,1,405,633,105
"607","STEVENS","Stevens",2011,"COUNTY TOTAL",43320,899,20.8,37,0.9,2,7,5,23,862,20,0,262,534,66
"608","THURSTON","Thurston",1994,"COUNTY TOTAL",184005,8744,47.5,470,2.6,2,117,67,284,8274,45,63,1606,6120,485
"609","THURSTON","Thurston",1995,"COUNTY TOTAL",189200,8651,45.7,562,3,4,104,93,361,8089,43,33,1862,5638,556
"610","THURSTON","Thurston",1996,"COUNTY TOTAL",193100,8709,45.1,494,2.6,8,103,102,281,8215,43,60,1942,5679,534
"611","THURSTON","Thurston",1997,"COUNTY TOTAL",197600,7974,40.4,450,2.3,1,99,85,265,7524,38,60,1742,5092,630
"612","THURSTON","Thurston",1998,"COUNTY TOTAL",199700,8547,42.8,491,2.5,5,88,124,274,8056,40,47,1880,5473,656
"613","THURSTON","Thurston",1999,"COUNTY TOTAL",202700,7763,38.3,564,2.8,4,110,93,357,7199,36,48,1701,4958,492
"614","THURSTON","Thurston",2000,"COUNTY TOTAL",204300,8575,42,557,2.7,2,117,106,332,8018,39,68,1922,5481,547
"615","THURSTON","Thurston",2001,"COUNTY TOTAL",210200,9027,42.9,575,2.7,6,94,100,375,8452,40,65,1823,5897,667
"616","THURSTON","Thurston",2002,"COUNTY TOTAL",212300,8956,42.2,626,2.9,2,127,111,386,8330,39,55,1770,5884,621
"617","THURSTON","Thurston",2003,"COUNTY TOTAL",214800,8073,37.6,578,2.7,4,108,91,375,7495,35,52,1658,5191,594
"618","THURSTON","Thurston",2004,"COUNTY TOTAL",218500,8909,40.8,592,2.7,8,87,89,408,8317,38,51,1790,5838,638
"619","THURSTON","Thurston",2005,"COUNTY TOTAL",224100,9232,41.2,596,2.7,2,65,101,428,8636,39,46,1793,5983,814
"620","THURSTON","Thurston",2006,"COUNTY TOTAL",231100,8428,36.5,596,2.6,4,75,112,405,7832,34,36,1686,5426,684
"621","THURSTON","Thurston",2007,"COUNTY TOTAL",238000,7904,33.2,503,2.1,7,68,88,340,7401,31,42,1530,5082,747
"622","THURSTON","Thurston",2008,"COUNTY TOTAL",245300,8978,36.6,630,2.6,4,86,112,428,8348,34,36,1722,6119,471
"623","THURSTON","Thurston",2009,"COUNTY TOTAL",249800,8100,32.4,616,2.5,5,99,110,402,7484,30,47,1634,5276,527
"624","THURSTON","Thurston",2010,"COUNTY TOTAL",252400,8801,34.9,631,2.5,4,86,86,455,8170,32,41,2052,5649,428
"625","THURSTON","Thurston",2011,"COUNTY TOTAL",254100,7570,29.8,555,2.2,4,66,83,402,7015,28,31,1858,4763,363
"626","THURSTON","Thurston",2012,"COUNTY TOTAL",116102,4677,40.3,274,2.4,9,59,60,146,4403,38,5,883,3293,222
"627","WAHKIAKUM","Wahkiakum",1994,"COUNTY TOTAL",3085,44,14.3,8,2.6,0,4,0,4,36,12,2,12,19,3
"628","WAHKIAKUM","Wahkiakum",1995,"COUNTY TOTAL",3180,131,41.2,23,7.2,0,12,0,11,108,34,0,19,87,2
"629","WAHKIAKUM","Wahkiakum",1996,"COUNTY TOTAL",3800,122,32.1,14,3.7,1,7,1,5,108,28,0,30,76,2
"630","WAHKIAKUM","Wahkiakum",1997,"COUNTY TOTAL",3900,89,22.8,7,1.8,1,2,0,4,82,21,0,24,58,0
"631","WAHKIAKUM","Wahkiakum",1998,"COUNTY TOTAL",3900,90,23.1,2,0.5,0,2,0,0,88,23,0,22,58,8
"632","WAHKIAKUM","Wahkiakum",1999,"COUNTY TOTAL",3900,75,19.2,3,0.8,0,1,0,2,72,19,0,30,39,3
"633","WAHKIAKUM","Wahkiakum",2000,"COUNTY TOTAL",3900,70,17.9,1,0.3,0,0,0,1,69,18,0,21,48,0
"634","WAHKIAKUM","Wahkiakum",2001,"COUNTY TOTAL",3800,51,13.4,3,0.8,0,2,0,1,48,13,1,7,40,0
"635","WAHKIAKUM","Wahkiakum",2002,"COUNTY TOTAL",3800,45,11.8,4,1.1,1,0,0,3,41,11,1,1,36,3
"636","WAHKIAKUM","Wahkiakum",2003,"COUNTY TOTAL",3800,82,21.6,3,0.8,0,0,0,3,79,21,0,32,41,6
"637","WAHKIAKUM","Wahkiakum",2004,"COUNTY TOTAL",3800,81,21.3,8,2.1,0,3,0,5,73,19,0,25,44,4
"638","WAHKIAKUM","Wahkiakum",2005,"COUNTY TOTAL",3900,51,13.1,8,2.1,0,1,0,7,43,11,0,16,20,7
"639","WAHKIAKUM","Wahkiakum",2006,"COUNTY TOTAL",3900,46,11.8,8,2.1,0,1,0,7,38,10,0,16,17,5
"640","WAHKIAKUM","Wahkiakum",2007,"COUNTY TOTAL",4000,56,14,9,2.3,0,2,0,7,47,12,0,19,21,7
"641","WAHKIAKUM","Wahkiakum",2008,"COUNTY TOTAL",4100,56,13.7,6,1.5,0,0,1,5,50,12,0,19,28,3
"642","WAHKIAKUM","Wahkiakum",2009,"COUNTY TOTAL",4100,25,6.1,8,2,0,1,0,7,17,4,2,7,7,1
"643","WAHKIAKUM","Wahkiakum",2010,"COUNTY TOTAL",4150,33,8,2,0.5,0,1,0,1,31,8,0,10,18,3
"644","WAHKIAKUM","Wahkiakum",2011,"COUNTY TOTAL",4000,19,4.8,6,1.5,0,0,0,6,13,3,1,3,9,0
"645","WALLA WALLA","Walla Walla",1994,"COUNTY TOTAL",52600,3726,70.8,427,8.1,4,49,26,348,3299,63,29,566,2590,114
"646","WALLA WALLA","Walla Walla",1995,"COUNTY TOTAL",52700,3861,73.3,351,6.7,0,38,35,278,3510,67,30,634,2701,145
"647","WALLA WALLA","Walla Walla",1996,"COUNTY TOTAL",53400,3494,65.4,343,6.4,2,43,26,272,3151,59,32,617,2372,130
"648","WALLA WALLA","Walla Walla",1997,"COUNTY TOTAL",54000,3807,70.5,344,6.4,3,47,41,253,3463,64,12,629,2652,170
"649","WALLA WALLA","Walla Walla",1998,"COUNTY TOTAL",54600,3224,59,339,6.2,0,49,27,263,2885,53,22,589,2147,127
"650","WALLA WALLA","Walla Walla",1999,"COUNTY TOTAL",54600,2667,48.8,178,3.3,0,25,28,125,2489,46,7,510,1846,126
"651","WALLA WALLA","Walla Walla",2000,"COUNTY TOTAL",54200,2460,45.4,219,4,0,51,26,142,2241,41,6,422,1691,122
"652","WALLA WALLA","Walla Walla",2001,"COUNTY TOTAL",55200,2570,46.6,192,3.5,2,50,22,118,2378,43,2,448,1811,117
"653","WALLA WALLA","Walla Walla",2002,"COUNTY TOTAL",55400,2326,42,175,3.2,0,57,22,96,2151,39,4,396,1662,89
"654","WALLA WALLA","Walla Walla",2003,"COUNTY TOTAL",55800,2522,45.2,157,2.8,0,39,23,95,2365,42,30,450,1772,113
"655","WALLA WALLA","Walla Walla",2004,"COUNTY TOTAL",56700,2197,38.7,166,2.9,0,44,21,101,2031,36,21,351,1520,139
"656","WALLA WALLA","Walla Walla",2005,"COUNTY TOTAL",57500,2112,36.7,174,3,0,57,14,103,1938,34,12,337,1484,105
"657","WALLA WALLA","Walla Walla",2006,"COUNTY TOTAL",57900,2114,36.5,164,2.8,1,45,14,104,1950,34,7,323,1534,86
